===========configuration loading success==========
===================configuration===================
learning rate :  0.001
observation hour [7,19]
observation threshold :  3240
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/citation3/
===================configuration===================
# Epochs:0
Train Loss MSEL:2.024969, Val Loss MSEL:1.748720, Test Loss MSEL:1.705925,
Train Loss mSEL:0.837619, Val Loss mSEL:0.796222, Test Loss mSEL:0.807654,
Train acc:0.295681, Val acc:0.294628, Test acc:0.291251,
Train Loss mape:0.448801, Val Loss mape:0.423025, Test Loss mape:0.417433,

# Epochs:1
Train Loss MSEL:1.674361, Val Loss MSEL:1.649909, Test Loss MSEL:1.586012,
Train Loss mSEL:0.736370, Val Loss mSEL:0.688015, Test Loss mSEL:0.659694,
Train acc:0.328165, Val acc:0.341562, Test acc:0.347650,
Train Loss mape:0.452950, Val Loss mape:0.473734, Test Loss mape:0.464789,

# Epochs:2
Train Loss MSEL:1.645588, Val Loss MSEL:1.633304, Test Loss MSEL:1.578207,
Train Loss mSEL:0.709218, Val Loss mSEL:0.672076, Test Loss mSEL:0.641681,
Train acc:0.333652, Val acc:0.347859, Test acc:0.350735,
Train Loss mape:0.461306, Val Loss mape:0.476120, Test Loss mape:0.467719,

# Epochs:3
Train Loss MSEL:1.634306, Val Loss MSEL:1.631937, Test Loss MSEL:1.585999,
Train Loss mSEL:0.687230, Val Loss mSEL:0.736160, Test Loss mSEL:0.717013,
Train acc:0.338635, Val acc:0.319535, Test acc:0.318666,
Train Loss mape:0.464440, Val Loss mape:0.452337, Test Loss mape:0.445290,

# Epochs:4
Train Loss MSEL:1.643763, Val Loss MSEL:1.624213, Test Loss MSEL:1.572563,
Train Loss mSEL:0.699382, Val Loss mSEL:0.671059, Test Loss mSEL:0.644005,
Train acc:0.338501, Val acc:0.343467, Test acc:0.349969,
Train Loss mape:0.466830, Val Loss mape:0.472904, Test Loss mape:0.464640,

# Epochs:5
Train Loss MSEL:1.636352, Val Loss MSEL:1.638582, Test Loss MSEL:1.592752,
Train Loss mSEL:0.681957, Val Loss mSEL:0.741876, Test Loss mSEL:0.723381,
Train acc:0.341258, Val acc:0.320020, Test acc:0.320281,
Train Loss mape:0.467487, Val Loss mape:0.454654, Test Loss mape:0.447529,

# Epochs:6
Train Loss MSEL:1.637673, Val Loss MSEL:1.624925, Test Loss MSEL:1.571579,
Train Loss mSEL:0.689077, Val Loss mSEL:0.660203, Test Loss mSEL:0.634352,
Train acc:0.341483, Val acc:0.349159, Test acc:0.357778,
