===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3600
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo1/
===================configuration===================
# Epochs:0
Train Loss MSEL:7.608005, Val Loss MSEL:6.701602, Test Loss MSEL:6.523384,
Train Loss mSEL:4.365503, Val Loss mSEL:3.948500, Test Loss mSEL:3.913071,
Train acc:0.127239, Val acc:0.130441, Test acc:0.126110,
Train Loss mape:16.629330, Val Loss mape:17.129236, Test Loss mape:14.738563,

# Epochs:1
Train Loss MSEL:5.938834, Val Loss MSEL:5.531127, Test Loss MSEL:5.315691,
Train Loss mSEL:3.070385, Val Loss mSEL:2.787727, Test Loss mSEL:2.785625,
Train acc:0.165248, Val acc:0.175095, Test acc:0.172113,
Train Loss mape:17.501368, Val Loss mape:17.459103, Test Loss mape:15.579440,

# Epochs:2
Train Loss MSEL:4.989105, Val Loss MSEL:4.647766, Test Loss MSEL:4.456481,
Train Loss mSEL:2.237567, Val Loss mSEL:1.906986, Test Loss mSEL:1.965527,
Train acc:0.209520, Val acc:0.227277, Test acc:0.232527,
Train Loss mape:17.949293, Val Loss mape:17.986452, Test Loss mape:16.043613,

# Epochs:3
Train Loss MSEL:4.243962, Val Loss MSEL:4.012177, Test Loss MSEL:3.791750,
Train Loss mSEL:1.605079, Val Loss mSEL:1.399114, Test Loss mSEL:1.436764,
Train acc:0.273898, Val acc:0.295172, Test acc:0.301752,
Train Loss mape:18.331827, Val Loss mape:18.665773, Test Loss mape:16.380619,

# Epochs:4
Train Loss MSEL:3.683521, Val Loss MSEL:3.574124, Test Loss MSEL:3.330808,
Train Loss mSEL:1.165075, Val Loss mSEL:1.008745, Test Loss mSEL:1.022904,
Train acc:0.349471, Val acc:0.391334, Test acc:0.395020,
Train Loss mape:18.531263, Val Loss mape:20.376930, Test Loss mape:17.404041,

# Epochs:5
Train Loss MSEL:3.316569, Val Loss MSEL:3.221831, Test Loss MSEL:3.045132,
Train Loss mSEL:0.910541, Val Loss mSEL:0.807871, Test Loss mSEL:0.804162,
Train acc:0.416767, Val acc:0.452084, Test acc:0.446742,
Train Loss mape:18.775980, Val Loss mape:19.871328, Test Loss mape:17.530739,

# Epochs:6
Train Loss MSEL:3.060337, Val Loss MSEL:3.100707, Test Loss MSEL:2.977370,
Train Loss mSEL:0.763770, Val Loss mSEL:0.699716, Test Loss mSEL:0.710038,
Train acc:0.457470, Val acc:0.477818, Test acc:0.475539,
Train Loss mape:18.985605, Val Loss mape:21.331165, Test Loss mape:19.128469,

# Epochs:7
Train Loss MSEL:2.928184, Val Loss MSEL:2.967391, Test Loss MSEL:2.766495,
Train Loss mSEL:0.693294, Val Loss mSEL:0.707749, Test Loss mSEL:0.691768,
Train acc:0.479112, Val acc:0.479260, Test acc:0.486218,
Train Loss mape:19.254982, Val Loss mape:20.013786, Test Loss mape:17.902138,

# Epochs:8
Train Loss MSEL:2.858913, Val Loss MSEL:2.900970, Test Loss MSEL:2.742475,
Train Loss mSEL:0.686630, Val Loss mSEL:0.696132, Test Loss mSEL:0.673572,
Train acc:0.486977, Val acc:0.487084, Test acc:0.489124,
Train Loss mape:19.338623, Val Loss mape:20.114223, Test Loss mape:18.563448,

# Epochs:9
Train Loss MSEL:2.819885, Val Loss MSEL:3.007060, Test Loss MSEL:2.767348,
Train Loss mSEL:0.682774, Val Loss mSEL:0.828963, Test Loss mSEL:0.795268,
Train acc:0.488435, Val acc:0.439407, Test acc:0.450027,
Train Loss mape:19.471716, Val Loss mape:18.707441, Test Loss mape:16.565212,

# Epochs:10
Train Loss MSEL:2.811765, Val Loss MSEL:2.910754, Test Loss MSEL:2.726349,
Train Loss mSEL:0.680785, Val Loss mSEL:0.695048, Test Loss mSEL:0.658462,
Train acc:0.489871, Val acc:0.488624, Test acc:0.498390,
Train Loss mape:19.447842, Val Loss mape:21.387383, Test Loss mape:18.965668,

# Epochs:11
