===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  10800
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================


# Epochs:0
 Train Loss:4.412395, Val Loss:4.042047, Test Loss:4.043331,




# Epochs:1
 Train Loss:3.966952, Val Loss:3.819806, Test Loss:3.806241,




# Epochs:2
 Train Loss:3.768933, Val Loss:3.641133, Test Loss:3.619981,




# Epochs:3
 Train Loss:3.611562, Val Loss:3.493775, Test Loss:3.482888,




# Epochs:4
 Train Loss:3.473624, Val Loss:3.365177, Test Loss:3.355191,




# Epochs:5
 Train Loss:3.364658, Val Loss:3.263947, Test Loss:3.246068,




# Epochs:6
 Train Loss:3.264240, Val Loss:3.211346, Test Loss:3.184593,




# Epochs:7
 Train Loss:3.186193, Val Loss:3.110072, Test Loss:3.085516,




# Epochs:8
 Train Loss:3.118279, Val Loss:3.053732, Test Loss:3.034401,




# Epochs:9
 Train Loss:3.063502, Val Loss:3.024664, Test Loss:2.999850,




# Epochs:10
 Train Loss:3.028677, Val Loss:2.967847, Test Loss:2.944796,




# Epochs:11
 Train Loss:2.986120, Val Loss:2.933059, Test Loss:2.901916,




# Epochs:12
 Train Loss:2.959123, Val Loss:2.913018, Test Loss:2.881624,




# Epochs:13
 Train Loss:2.933108, Val Loss:2.879563, Test Loss:2.852374,




# Epochs:14
 Train Loss:2.911218, Val Loss:2.866682, Test Loss:2.833168,




# Epochs:15
 Train Loss:2.899457, Val Loss:2.858389, Test Loss:2.828047,




# Epochs:16
 Train Loss:2.884246, Val Loss:2.839875, Test Loss:2.815164,




# Epochs:17
 Train Loss:2.879915, Val Loss:2.840796, Test Loss:2.812388,




# Epochs:18
 Train Loss:2.870582, Val Loss:2.831921, Test Loss:2.812711,




# Epochs:19
 Train Loss:2.861330, Val Loss:2.826003, Test Loss:2.785780,




# Epochs:20
 Train Loss:2.859648, Val Loss:2.822620, Test Loss:2.797378,




# Epochs:21
 Train Loss:2.851287, Val Loss:2.812462, Test Loss:2.786635,




# Epochs:22
 Train Loss:2.846261, Val Loss:2.808909, Test Loss:2.781036,




# Epochs:23
 Train Loss:2.844789, Val Loss:2.806064, Test Loss:2.775904,




# Epochs:24
 Train Loss:2.842371, Val Loss:2.828537, Test Loss:2.808478,




# Epochs:25
 Train Loss:2.841551, Val Loss:2.819586, Test Loss:2.778902,




# Epochs:26
 Train Loss:2.844161, Val Loss:2.804915, Test Loss:2.781000,




# Epochs:27
 Train Loss:2.837595, Val Loss:2.797733, Test Loss:2.769665,




# Epochs:28
 Train Loss:2.833602, Val Loss:2.812297, Test Loss:2.784436,




# Epochs:29
 Train Loss:2.838080, Val Loss:2.843457, Test Loss:2.800057,




# Epochs:30
 Train Loss:2.837330, Val Loss:2.798975, Test Loss:2.770569,




# Epochs:31
 Train Loss:2.835021, Val Loss:2.804877, Test Loss:2.767685,




# Epochs:32
 Train Loss:2.839408, Val Loss:2.809272, Test Loss:2.777786,




# Epochs:33
 Train Loss:2.841661, Val Loss:2.798562, Test Loss:2.770138,




# Epochs:34
 Train Loss:2.827897, Val Loss:2.817187, Test Loss:2.795821,




# Epochs:35
 Train Loss:2.835590, Val Loss:2.797252, Test Loss:2.769469,




# Epochs:36
 Train Loss:2.835754, Val Loss:2.802616, Test Loss:2.767328,




# Epochs:37
 Train Loss:2.834291, Val Loss:2.797047, Test Loss:2.769842,




# Epochs:38
 Train Loss:2.831081, Val Loss:2.787377, Test Loss:2.756317,




# Epochs:39
 Train Loss:2.826007, Val Loss:2.795038, Test Loss:2.758203,




# Epochs:40
 Train Loss:2.837069, Val Loss:2.795727, Test Loss:2.759564,




# Epochs:41
 Train Loss:2.825481, Val Loss:2.788116, Test Loss:2.762149,




# Epochs:42
 Train Loss:2.830269, Val Loss:2.808511, Test Loss:2.778424,




# Epochs:43
 Train Loss:2.833565, Val Loss:2.793945, Test Loss:2.760931,




# Epochs:44
 Train Loss:2.830540, Val Loss:2.792729, Test Loss:2.764089,




# Epochs:45
 Train Loss:2.820579, Val Loss:2.828268, Test Loss:2.805063,




# Epochs:46
 Train Loss:2.828629, Val Loss:2.787140, Test Loss:2.761638,




# Epochs:47
 Train Loss:2.824943, Val Loss:2.788933, Test Loss:2.758589,




# Epochs:48
 Train Loss:2.825884, Val Loss:2.783940, Test Loss:2.755749,




# Epochs:49
 Train Loss:2.824384, Val Loss:2.785532, Test Loss:2.759436,


