===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  10800
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================


# Epochs:0
 Train Loss:4.967104, Val Loss:4.408248, Test Loss:4.305461,




# Epochs:1
 Train Loss:4.044674, Val Loss:3.936445, Test Loss:3.834953,




# Epochs:2
 Train Loss:3.629480, Val Loss:3.597205, Test Loss:3.506488,




# Epochs:3
 Train Loss:3.339601, Val Loss:3.313998, Test Loss:3.235724,




# Epochs:4
 Train Loss:3.116710, Val Loss:3.129483, Test Loss:3.038194,




# Epochs:5
 Train Loss:2.950450, Val Loss:2.988044, Test Loss:2.899643,




# Epochs:6
 Train Loss:2.836367, Val Loss:2.942273, Test Loss:2.866283,




# Epochs:7
 Train Loss:2.751431, Val Loss:2.860421, Test Loss:2.761548,




# Epochs:8
 Train Loss:2.691236, Val Loss:2.766788, Test Loss:2.686866,




# Epochs:9
 Train Loss:2.656956, Val Loss:2.745298, Test Loss:2.661934,




# Epochs:10
 Train Loss:2.623164, Val Loss:2.711572, Test Loss:2.637816,




# Epochs:11
 Train Loss:2.602498, Val Loss:2.703794, Test Loss:2.623988,




# Epochs:12
 Train Loss:2.596149, Val Loss:2.691808, Test Loss:2.614866,




# Epochs:13
 Train Loss:2.600333, Val Loss:2.671287, Test Loss:2.609181,




# Epochs:14
 Train Loss:2.582726, Val Loss:2.681337, Test Loss:2.618024,




# Epochs:15
 Train Loss:2.582023, Val Loss:2.669283, Test Loss:2.595198,




# Epochs:16
 Train Loss:2.580552, Val Loss:2.669133, Test Loss:2.601187,




# Epochs:17
 Train Loss:2.575233, Val Loss:2.671215, Test Loss:2.603944,




# Epochs:18
 Train Loss:2.575053, Val Loss:2.663807, Test Loss:2.598335,




# Epochs:19
 Train Loss:2.577437, Val Loss:2.687032, Test Loss:2.621953,




# Epochs:20
 Train Loss:2.578138, Val Loss:2.649785, Test Loss:2.586837,




# Epochs:21
 Train Loss:2.561805, Val Loss:2.705209, Test Loss:2.628258,




# Epochs:22
 Train Loss:2.576706, Val Loss:2.658616, Test Loss:2.583826,




# Epochs:23
 Train Loss:2.563728, Val Loss:2.658957, Test Loss:2.602519,




# Epochs:24
 Train Loss:2.559448, Val Loss:2.664334, Test Loss:2.583811,




# Epochs:25
 Train Loss:2.564889, Val Loss:2.659417, Test Loss:2.592501,




# Epochs:26
 Train Loss:2.559042, Val Loss:2.656575, Test Loss:2.595812,




# Epochs:27
 Train Loss:2.564898, Val Loss:2.666755, Test Loss:2.593746,




# Epochs:28
 Train Loss:2.557749, Val Loss:2.680961, Test Loss:2.604094,




# Epochs:29
 Train Loss:2.586847, Val Loss:2.653507, Test Loss:2.590168,




# Epochs:30
 Train Loss:2.562208, Val Loss:2.657320, Test Loss:2.603959,




# Epochs:31
 Train Loss:2.560149, Val Loss:2.668988, Test Loss:2.610610,




# Epochs:32
 Train Loss:2.562289, Val Loss:2.666556, Test Loss:2.595515,




# Epochs:33
 Train Loss:2.556923, Val Loss:2.652709, Test Loss:2.588200,




# Epochs:34
 Train Loss:2.562503, Val Loss:2.663100, Test Loss:2.591730,




# Epochs:35
 Train Loss:2.557097, Val Loss:2.649735, Test Loss:2.579408,




# Epochs:36
 Train Loss:2.557233, Val Loss:2.664353, Test Loss:2.598002,




# Epochs:37
 Train Loss:2.556958, Val Loss:2.671084, Test Loss:2.610062,




# Epochs:38
 Train Loss:2.559574, Val Loss:2.683312, Test Loss:2.607308,




# Epochs:39
 Train Loss:2.554410, Val Loss:2.645249, Test Loss:2.585699,




# Epochs:40
 Train Loss:2.562346, Val Loss:2.655497, Test Loss:2.583030,




# Epochs:41
 Train Loss:2.553255, Val Loss:2.667341, Test Loss:2.603928,




# Epochs:42
 Train Loss:2.551056, Val Loss:2.645752, Test Loss:2.580976,




# Epochs:43
 Train Loss:2.550680, Val Loss:2.649698, Test Loss:2.587965,




# Epochs:44
 Train Loss:2.552823, Val Loss:2.658583, Test Loss:2.580994,




# Epochs:45
 Train Loss:2.554310, Val Loss:2.646131, Test Loss:2.580444,




# Epochs:46
 Train Loss:2.555020, Val Loss:2.696361, Test Loss:2.625658,




# Epochs:47
 Train Loss:2.563245, Val Loss:2.650883, Test Loss:2.581546,




# Epochs:48
 Train Loss:2.551836, Val Loss:2.653928, Test Loss:2.580493,




# Epochs:49
 Train Loss:2.552828, Val Loss:2.685772, Test Loss:2.619605,


