===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  6
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================


# Epochs:0
 Train Loss:5.301449, Val Loss:4.097960, Test Loss:4.065814,




# Epochs:1
 Train Loss:3.584067, Val Loss:3.436509, Test Loss:3.391244,




# Epochs:2
 Train Loss:3.063795, Val Loss:3.011884, Test Loss:2.961840,




# Epochs:3
 Train Loss:2.724437, Val Loss:2.699717, Test Loss:2.647892,




# Epochs:4
 Train Loss:2.490535, Val Loss:2.522449, Test Loss:2.468674,




# Epochs:5
 Train Loss:2.294850, Val Loss:2.387881, Test Loss:2.344302,




# Epochs:6
 Train Loss:2.174690, Val Loss:2.226567, Test Loss:2.178750,




# Epochs:7
 Train Loss:2.086411, Val Loss:2.138932, Test Loss:2.092762,




# Epochs:8
 Train Loss:2.049032, Val Loss:2.072100, Test Loss:2.028404,




# Epochs:9
 Train Loss:1.996450, Val Loss:2.062580, Test Loss:2.018580,




# Epochs:10
 Train Loss:1.976364, Val Loss:2.040328, Test Loss:1.997196,




# Epochs:11
 Train Loss:1.961284, Val Loss:2.053404, Test Loss:2.014690,




# Epochs:12
 Train Loss:1.952166, Val Loss:2.028464, Test Loss:1.986723,




# Epochs:13
 Train Loss:1.949888, Val Loss:2.004218, Test Loss:1.965728,




# Epochs:14
 Train Loss:1.951057, Val Loss:2.016319, Test Loss:1.968048,




# Epochs:15
 Train Loss:1.941156, Val Loss:1.989232, Test Loss:1.945573,




# Epochs:16
 Train Loss:1.947242, Val Loss:1.985573, Test Loss:1.945467,




# Epochs:17
 Train Loss:1.942261, Val Loss:1.985346, Test Loss:1.941244,




# Epochs:18
 Train Loss:1.937186, Val Loss:1.991760, Test Loss:1.949740,




# Epochs:19
 Train Loss:1.938840, Val Loss:1.983395, Test Loss:1.940726,




# Epochs:20
 Train Loss:1.942043, Val Loss:1.981168, Test Loss:1.940742,




# Epochs:21
 Train Loss:1.938782, Val Loss:1.980716, Test Loss:1.937606,




# Epochs:22
 Train Loss:1.934267, Val Loss:1.982874, Test Loss:1.934252,




# Epochs:23
 Train Loss:1.945683, Val Loss:1.980126, Test Loss:1.937469,




# Epochs:24
 Train Loss:1.934018, Val Loss:1.997342, Test Loss:1.953040,




# Epochs:25
 Train Loss:1.933022, Val Loss:1.992236, Test Loss:1.949284,




# Epochs:26
 Train Loss:1.936409, Val Loss:2.021867, Test Loss:1.979542,




# Epochs:27
 Train Loss:1.936910, Val Loss:1.978163, Test Loss:1.939087,




# Epochs:28
 Train Loss:1.938660, Val Loss:1.976804, Test Loss:1.936210,




# Epochs:29
 Train Loss:1.933569, Val Loss:1.994123, Test Loss:1.959981,




# Epochs:30
 Train Loss:1.931363, Val Loss:1.977413, Test Loss:1.937877,




# Epochs:31
 Train Loss:1.931312, Val Loss:1.978598, Test Loss:1.937192,




# Epochs:32
 Train Loss:1.934158, Val Loss:1.978890, Test Loss:1.938881,




# Epochs:33
 Train Loss:1.931038, Val Loss:1.980207, Test Loss:1.940296,




# Epochs:34
 Train Loss:1.934262, Val Loss:1.981542, Test Loss:1.939302,




# Epochs:35
 Train Loss:1.931502, Val Loss:1.986373, Test Loss:1.942130,




# Epochs:36
 Train Loss:1.930763, Val Loss:1.982980, Test Loss:1.941978,




# Epochs:37
 Train Loss:1.935759, Val Loss:1.976663, Test Loss:1.936376,




# Epochs:38
 Train Loss:1.931131, Val Loss:1.978932, Test Loss:1.938911,




# Epochs:39
 Train Loss:1.930607, Val Loss:1.976541, Test Loss:1.935469,




# Epochs:40
 Train Loss:1.933900, Val Loss:1.980841, Test Loss:1.938082,




# Epochs:41
 Train Loss:1.928986, Val Loss:1.982993, Test Loss:1.939332,




# Epochs:42
 Train Loss:1.931016, Val Loss:1.982182, Test Loss:1.937973,




# Epochs:43
 Train Loss:1.930669, Val Loss:2.025213, Test Loss:1.985082,




# Epochs:44
 Train Loss:1.932300, Val Loss:1.977877, Test Loss:1.935606,




# Epochs:45
 Train Loss:1.932575, Val Loss:1.981227, Test Loss:1.938562,




# Epochs:46
 Train Loss:1.929250, Val Loss:1.990614, Test Loss:1.949334,




# Epochs:47
 Train Loss:1.929071, Val Loss:1.980954, Test Loss:1.935623,




# Epochs:48
 Train Loss:1.932019, Val Loss:1.981699, Test Loss:1.938086,




# Epochs:49
 Train Loss:1.930123, Val Loss:1.983734, Test Loss:1.943319,


