===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  10800
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss MSEL:4.412255, Val Loss MSEL:4.177747, Test Loss MSEL:4.090923,
Train Loss mSEL:2.040107, Val Loss mSEL:1.919806, Test Loss mSEL:1.949942,
Train acc:0.171917, Val acc:0.176588, Test acc:0.174897,
Train Loss mape:21.043766, Val Loss mape:22.042315, Test Loss mape:21.697792,

# Epochs:1
Train Loss MSEL:3.818805, Val Loss MSEL:3.709858, Test Loss MSEL:3.624253,
Train Loss mSEL:1.708182, Val Loss mSEL:1.664473, Test Loss mSEL:1.688422,
Train acc:0.193801, Val acc:0.195905, Test acc:0.193206,
Train Loss mape:22.247110, Val Loss mape:22.996729, Test Loss mape:22.682327,

# Epochs:2
Train Loss MSEL:3.416651, Val Loss MSEL:3.537394, Test Loss MSEL:3.421041,
Train Loss mSEL:1.417630, Val Loss mSEL:1.209496, Test Loss mSEL:1.207213,
Train acc:0.228243, Val acc:0.271113, Test acc:0.265920,
Train Loss mape:23.230330, Val Loss mape:27.879028, Test Loss mape:27.482559,

# Epochs:3
Train Loss MSEL:3.145950, Val Loss MSEL:3.155754, Test Loss MSEL:3.051466,
Train Loss mSEL:1.152157, Val Loss mSEL:1.043071, Test Loss mSEL:1.060065,
Train acc:0.267396, Val acc:0.294592, Test acc:0.289849,
Train Loss mape:24.176661, Val Loss mape:26.605116, Test Loss mape:26.449053,

# Epochs:4
Train Loss MSEL:2.954722, Val Loss MSEL:2.961689, Test Loss MSEL:2.881672,
Train Loss mSEL:1.008189, Val Loss mSEL:0.997444, Test Loss mSEL:0.971419,
Train acc:0.297918, Val acc:0.292942, Test acc:0.292919,
Train Loss mape:24.808697, Val Loss mape:25.676083, Test Loss mape:25.625580,

# Epochs:5
Train Loss MSEL:2.804964, Val Loss MSEL:2.857159, Test Loss MSEL:2.770076,
Train Loss mSEL:0.935803, Val Loss mSEL:0.911824, Test Loss mSEL:0.883729,
Train acc:0.314399, Val acc:0.324505, Test acc:0.329616,
Train Loss mape:25.490477, Val Loss mape:27.458450, Test Loss mape:27.288240,

# Epochs:6
Train Loss MSEL:2.717120, Val Loss MSEL:2.787136, Test Loss MSEL:2.699507,
Train Loss mSEL:0.870539, Val Loss mSEL:0.862456, Test Loss mSEL:0.816270,
Train acc:0.335046, Val acc:0.334959, Test acc:0.342910,
Train Loss mape:25.990759, Val Loss mape:27.436211, Test Loss mape:27.316322,

# Epochs:7
Train Loss MSEL:2.666850, Val Loss MSEL:2.744170, Test Loss MSEL:2.659241,
Train Loss mSEL:0.810652, Val Loss mSEL:0.815637, Test Loss mSEL:0.787322,
Train acc:0.353610, Val acc:0.354644, Test acc:0.361145,
Train Loss mape:26.456696, Val Loss mape:27.830698, Test Loss mape:27.819204,

# Epochs:8
Train Loss MSEL:2.629103, Val Loss MSEL:2.725156, Test Loss MSEL:2.647770,
Train Loss mSEL:0.776937, Val Loss mSEL:0.824765, Test Loss mSEL:0.812104,
Train acc:0.367916, Val acc:0.348531, Test acc:0.352832,
Train Loss mape:26.744682, Val Loss mape:26.994356, Test Loss mape:27.044779,

# Epochs:9
Train Loss MSEL:2.634226, Val Loss MSEL:2.726525, Test Loss MSEL:2.640992,
Train Loss mSEL:0.774810, Val Loss mSEL:0.836099, Test Loss mSEL:0.820288,
Train acc:0.370220, Val acc:0.349170, Test acc:0.353881,
Train Loss mape:27.044813, Val Loss mape:26.972610, Test Loss mape:26.988632,

# Epochs:10
Train Loss MSEL:2.607576, Val Loss MSEL:2.685895, Test Loss MSEL:2.606464,
Train Loss mSEL:0.763986, Val Loss mSEL:0.779745, Test Loss mSEL:0.741128,
Train acc:0.376777, Val acc:0.378205, Test acc:0.390967,
Train Loss mape:27.140905, Val Loss mape:28.923702, Test Loss mape:29.120182,

# Epochs:11
Train Loss MSEL:2.586849, Val Loss MSEL:2.703276, Test Loss MSEL:2.622965,
Train Loss mSEL:0.758306, Val Loss mSEL:0.779420, Test Loss mSEL:0.735498,
Train acc:0.378112, Val acc:0.381964, Test acc:0.390507,
Train Loss mape:27.337614, Val Loss mape:29.680367, Test Loss mape:29.907484,

# Epochs:12
Train Loss MSEL:2.577795, Val Loss MSEL:2.713438, Test Loss MSEL:2.633801,
Train Loss mSEL:0.762182, Val Loss mSEL:0.834497, Test Loss mSEL:0.816468,
Train acc:0.376291, Val acc:0.342754, Test acc:0.354332,
Train Loss mape:27.479532, Val Loss mape:27.077061, Test Loss mape:27.030170,

# Epochs:13
Train Loss MSEL:2.584211, Val Loss MSEL:2.666243, Test Loss MSEL:2.596938,
Train Loss mSEL:0.770193, Val Loss mSEL:0.802614, Test Loss mSEL:0.772813,
Train acc:0.375272, Val acc:0.366436, Test acc:0.380353,
Train Loss mape:27.506575, Val Loss mape:28.604839, Test Loss mape:28.644165,

# Epochs:14
Train Loss MSEL:2.581261, Val Loss MSEL:2.674943, Test Loss MSEL:2.605787,
Train Loss mSEL:0.781092, Val Loss mSEL:0.812003, Test Loss mSEL:0.803130,
Train acc:0.374484, Val acc:0.355719, Test acc:0.367732,
Train Loss mape:27.558052, Val Loss mape:27.946499, Test Loss mape:28.070583,

# Epochs:15
Train Loss MSEL:2.567795, Val Loss MSEL:2.717422, Test Loss MSEL:2.631376,
Train Loss mSEL:0.774291, Val Loss mSEL:0.781750, Test Loss mSEL:0.743890,
Train acc:0.375430, Val acc:0.383490, Test acc:0.394475,
