===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  6
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp1/
===================configuration===================
# Epochs:0
Train Loss MSEL:5.306546, Val Loss MSEL:4.081377, Test Loss MSEL:4.020339,
Train Loss mSEL:2.539251, Val Loss mSEL:1.982395, Test Loss mSEL:1.884740,
Train acc:0.237795, Val acc:0.274020, Test acc:0.287505,
Train Loss mape:2.559988, Val Loss mape:2.934353, Test Loss mape:2.493192,

# Epochs:1
Train Loss MSEL:3.599976, Val Loss MSEL:3.480183, Test Loss MSEL:3.413123,
Train Loss mSEL:1.583895, Val Loss mSEL:1.500732, Test Loss mSEL:1.392491,
Train acc:0.326774, Val acc:0.333321, Test acc:0.354663,
Train Loss mape:3.028190, Val Loss mape:3.376310, Test Loss mape:2.834216,

# Epochs:2
Train Loss MSEL:3.166007, Val Loss MSEL:3.097198, Test Loss MSEL:3.020366,
Train Loss mSEL:1.355791, Val Loss mSEL:1.358081, Test Loss mSEL:1.236839,
Train acc:0.358682, Val acc:0.363760, Test acc:0.377625,
Train Loss mape:3.263806, Val Loss mape:3.539435, Test Loss mape:2.980923,

# Epochs:3
Train Loss MSEL:2.821046, Val Loss MSEL:2.791893, Test Loss MSEL:2.741816,
Train Loss mSEL:1.202728, Val Loss mSEL:1.185106, Test Loss mSEL:1.083629,
Train acc:0.387610, Val acc:0.398802, Test acc:0.416005,
Train Loss mape:3.464938, Val Loss mape:3.813351, Test Loss mape:3.205389,

# Epochs:4
Train Loss MSEL:2.575808, Val Loss MSEL:2.590538, Test Loss MSEL:2.534803,
Train Loss mSEL:1.090111, Val Loss mSEL:1.077047, Test Loss mSEL:0.987166,
Train acc:0.413500, Val acc:0.425665, Test acc:0.439418,
Train Loss mape:3.620192, Val Loss mape:3.984358, Test Loss mape:3.332127,

# Epochs:5
Train Loss MSEL:2.392277, Val Loss MSEL:2.414371, Test Loss MSEL:2.364096,
Train Loss mSEL:1.016300, Val Loss mSEL:1.014818, Test Loss mSEL:0.932797,
Train acc:0.433524, Val acc:0.441385, Test acc:0.455506,
Train Loss mape:3.787441, Val Loss mape:4.142515, Test Loss mape:3.453921,

# Epochs:6
Train Loss MSEL:2.251673, Val Loss MSEL:2.293586, Test Loss MSEL:2.242224,
Train Loss mSEL:0.964622, Val Loss mSEL:0.968610, Test Loss mSEL:0.892451,
Train acc:0.451928, Val acc:0.457607, Test acc:0.471267,
Train Loss mape:3.926049, Val Loss mape:4.266076, Test Loss mape:3.581057,

# Epochs:7
Train Loss MSEL:2.159108, Val Loss MSEL:2.220469, Test Loss MSEL:2.174510,
Train Loss mSEL:0.925840, Val Loss mSEL:0.937941, Test Loss mSEL:0.869067,
Train acc:0.463862, Val acc:0.470835, Test acc:0.484455,
Train Loss mape:4.042543, Val Loss mape:4.467746, Test Loss mape:3.703399,

# Epochs:8
Train Loss MSEL:2.092215, Val Loss MSEL:2.136529, Test Loss MSEL:2.091151,
Train Loss mSEL:0.900548, Val Loss mSEL:0.927692, Test Loss mSEL:0.900012,
Train acc:0.475720, Val acc:0.466258, Test acc:0.480497,
Train Loss mape:4.146953, Val Loss mape:4.363416, Test Loss mape:3.666688,

# Epochs:9
Train Loss MSEL:2.040516, Val Loss MSEL:2.095632, Test Loss MSEL:2.052712,
Train Loss mSEL:0.880034, Val Loss mSEL:0.884260, Test Loss mSEL:0.843222,
Train acc:0.483731, Val acc:0.490187, Test acc:0.491616,
Train Loss mape:4.228259, Val Loss mape:4.584289, Test Loss mape:3.876048,

# Epochs:10
Train Loss MSEL:2.004663, Val Loss MSEL:2.076273, Test Loss MSEL:2.029909,
Train Loss mSEL:0.866085, Val Loss mSEL:0.875321, Test Loss mSEL:0.843962,
Train acc:0.491196, Val acc:0.493589, Test acc:0.496285,
Train Loss mape:4.309442, Val Loss mape:4.709656, Test Loss mape:3.949416,

# Epochs:11
Train Loss MSEL:1.985837, Val Loss MSEL:2.041800, Test Loss MSEL:1.999568,
Train Loss mSEL:0.859697, Val Loss mSEL:0.859880, Test Loss mSEL:0.836648,
Train acc:0.494923, Val acc:0.496083, Test acc:0.498680,
Train Loss mape:4.358846, Val Loss mape:4.689649, Test Loss mape:3.954490,

# Epochs:12
Train Loss MSEL:1.969858, Val Loss MSEL:2.027029, Test Loss MSEL:1.984501,
Train Loss mSEL:0.847992, Val Loss mSEL:0.870056, Test Loss mSEL:0.834722,
Train acc:0.499635, Val acc:0.492228, Test acc:0.497796,
Train Loss mape:4.408506, Val Loss mape:4.608565, Test Loss mape:3.898558,

# Epochs:13
Train Loss MSEL:1.964374, Val Loss MSEL:2.023638, Test Loss MSEL:1.979579,
Train Loss mSEL:0.847166, Val Loss mSEL:0.851889, Test Loss mSEL:0.827382,
Train acc:0.500849, Val acc:0.502532, Test acc:0.505526,
Train Loss mape:4.443590, Val Loss mape:4.771314, Test Loss mape:3.998263,

# Epochs:14
Train Loss MSEL:1.953979, Val Loss MSEL:1.998825, Test Loss MSEL:1.956113,
Train Loss mSEL:0.842672, Val Loss mSEL:0.851749, Test Loss mSEL:0.823378,
Train acc:0.503754, Val acc:0.500237, Test acc:0.505526,
Train Loss mape:4.468657, Val Loss mape:4.745847, Test Loss mape:3.976097,

# Epochs:15
Train Loss MSEL:1.946999, Val Loss MSEL:1.997485, Test Loss MSEL:1.953763,
Train Loss mSEL:0.831969, Val Loss mSEL:0.851607, Test Loss mSEL:0.818977,
Train acc:0.505051, Val acc:0.500817, Test acc:0.506871,
Train Loss mape:4.489994, Val Loss mape:4.780844, Test Loss mape:4.020265,

# Epochs:16
Train Loss MSEL:1.942995, Val Loss MSEL:1.995538, Test Loss MSEL:1.954020,
