===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  6
prediction time :  86400
cascade length [10,1000]
model save at : ../model_save/topolstm/dblp1/
===================configuration===================


# Epochs:0
 Train Loss:9.207595, Val Loss:6.191309, Test Loss:8.203364,




# Epochs:1
 Train Loss:6.051647, Val Loss:5.061910, Test Loss:6.381140,




# Epochs:2
 Train Loss:4.405694, Val Loss:4.646768, Test Loss:5.113953,




# Epochs:3
 Train Loss:3.835361, Val Loss:3.975838, Test Loss:5.194252,




# Epochs:4
 Train Loss:3.173612, Val Loss:2.960211, Test Loss:3.487286,




# Epochs:5
 Train Loss:2.894268, Val Loss:2.986055, Test Loss:3.301498,




# Epochs:6
 Train Loss:2.636265, Val Loss:2.855407, Test Loss:3.136191,




# Epochs:7
 Train Loss:2.574440, Val Loss:2.646295, Test Loss:2.922288,




# Epochs:8
 Train Loss:2.433392, Val Loss:2.412671, Test Loss:2.905998,




# Epochs:9
 Train Loss:2.386886, Val Loss:2.351611, Test Loss:2.718399,




# Epochs:10
 Train Loss:2.325437, Val Loss:2.396507, Test Loss:2.650139,




# Epochs:11
 Train Loss:2.354554, Val Loss:2.295349, Test Loss:2.590699,




# Epochs:12
 Train Loss:2.270338, Val Loss:2.401320, Test Loss:2.598770,




# Epochs:13
 Train Loss:2.273490, Val Loss:2.376700, Test Loss:2.578303,




# Epochs:14
 Train Loss:2.277933, Val Loss:2.288883, Test Loss:2.512179,




# Epochs:15
 Train Loss:2.239891, Val Loss:2.398545, Test Loss:2.566970,




# Epochs:16
 Train Loss:2.231314, Val Loss:2.361043, Test Loss:2.547728,




# Epochs:17
 Train Loss:2.235242, Val Loss:2.290318, Test Loss:2.495025,




# Epochs:18
 Train Loss:2.220250, Val Loss:2.278548, Test Loss:2.487828,




# Epochs:19
 Train Loss:2.224855, Val Loss:2.249421, Test Loss:2.500965,




# Epochs:20
 Train Loss:2.238412, Val Loss:2.275460, Test Loss:2.568355,




# Epochs:21
 Train Loss:2.221956, Val Loss:2.279644, Test Loss:2.599375,




# Epochs:22
 Train Loss:2.226722, Val Loss:2.265293, Test Loss:2.557394,




# Epochs:23
 Train Loss:2.219254, Val Loss:2.319654, Test Loss:2.684525,




# Epochs:24
 Train Loss:2.216211, Val Loss:2.272320, Test Loss:2.531991,




# Epochs:25
 Train Loss:2.211756, Val Loss:2.242239, Test Loss:2.549165,




# Epochs:26
 Train Loss:2.217434, Val Loss:2.244568, Test Loss:2.486329,




# Epochs:27
 Train Loss:2.219457, Val Loss:2.242957, Test Loss:2.501616,




# Epochs:28
 Train Loss:2.212000, Val Loss:2.263615, Test Loss:2.471194,




# Epochs:29
 Train Loss:2.200649, Val Loss:2.255889, Test Loss:2.569719,




# Epochs:30
 Train Loss:2.202660, Val Loss:2.241080, Test Loss:2.496777,




# Epochs:31
 Train Loss:2.202117, Val Loss:2.254632, Test Loss:2.524745,




# Epochs:32
 Train Loss:2.200115, Val Loss:2.259433, Test Loss:2.477722,




# Epochs:33
 Train Loss:2.216648, Val Loss:2.243889, Test Loss:2.521808,




# Epochs:34
 Train Loss:2.213395, Val Loss:2.283173, Test Loss:2.477760,




# Epochs:35
 Train Loss:2.208168, Val Loss:2.236592, Test Loss:2.502994,




# Epochs:36
 Train Loss:2.203601, Val Loss:2.258765, Test Loss:2.554080,




# Epochs:37
 Train Loss:2.193848, Val Loss:2.249182, Test Loss:2.531759,




# Epochs:38
 Train Loss:2.203324, Val Loss:2.354276, Test Loss:2.718186,




# Epochs:39
 Train Loss:2.228845, Val Loss:2.251055, Test Loss:2.482779,




# Epochs:40
 Train Loss:2.216688, Val Loss:2.260120, Test Loss:2.559106,




# Epochs:41
 Train Loss:2.199931, Val Loss:2.259475, Test Loss:2.549008,




# Epochs:42
 Train Loss:2.197288, Val Loss:2.359827, Test Loss:2.728678,




# Epochs:43
 Train Loss:2.193849, Val Loss:2.274161, Test Loss:2.474129,




# Epochs:44
 Train Loss:2.190478, Val Loss:2.244389, Test Loss:2.476977,




# Epochs:45
 Train Loss:2.197165, Val Loss:2.307158, Test Loss:2.625606,




# Epochs:46
 Train Loss:2.197450, Val Loss:2.244288, Test Loss:2.562591,




# Epochs:47
 Train Loss:2.187912, Val Loss:2.267919, Test Loss:2.497212,




# Epochs:48
 Train Loss:2.188182, Val Loss:2.341406, Test Loss:2.700586,




# Epochs:49
 Train Loss:2.183266, Val Loss:2.284718, Test Loss:2.517260,


