===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  8
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss MSEL:3.991024, Val Loss MSEL:3.128819, Test Loss MSEL:3.201294,
Train Loss mSEL:1.888808, Val Loss mSEL:1.453693, Test Loss mSEL:1.459987,
Train acc:0.243019, Val acc:0.288771, Test acc:0.290376,
Train Loss mape:5.578412, Val Loss mape:6.412626, Test Loss mape:7.084392,

# Epochs:1
Train Loss MSEL:2.928622, Val Loss MSEL:2.712628, Test Loss MSEL:2.784696,
Train Loss mSEL:1.333385, Val Loss mSEL:1.258282, Test Loss mSEL:1.272797,
Train acc:0.306920, Val acc:0.317207, Test acc:0.321285,
Train Loss mape:6.787287, Val Loss mape:7.145457, Test Loss mape:7.899813,

# Epochs:2
Train Loss MSEL:2.601505, Val Loss MSEL:2.465929, Test Loss MSEL:2.535392,
Train Loss mSEL:1.184800, Val Loss mSEL:1.153141, Test Loss mSEL:1.161362,
Train acc:0.339584, Val acc:0.346863, Test acc:0.344851,
Train Loss mape:7.452544, Val Loss mape:7.720717, Test Loss mape:8.516169,

# Epochs:3
Train Loss MSEL:2.394190, Val Loss MSEL:2.292722, Test Loss MSEL:2.362239,
Train Loss mSEL:1.080174, Val Loss mSEL:1.044617, Test Loss mSEL:1.058738,
Train acc:0.365681, Val acc:0.369055, Test acc:0.366594,
Train Loss mape:7.961581, Val Loss mape:8.226594, Test Loss mape:9.040453,

# Epochs:4
Train Loss MSEL:2.246004, Val Loss MSEL:2.219985, Test Loss MSEL:2.292691,
Train Loss mSEL:1.009722, Val Loss mSEL:0.979621, Test Loss mSEL:0.996951,
Train acc:0.385491, Val acc:0.399269, Test acc:0.395104,
Train Loss mape:8.371600, Val Loss mape:8.939091, Test Loss mape:9.844173,

# Epochs:5
Train Loss MSEL:2.150061, Val Loss MSEL:2.100171, Test Loss MSEL:2.170782,
Train Loss mSEL:0.963091, Val Loss mSEL:0.959768, Test Loss mSEL:0.966580,
Train acc:0.400649, Val acc:0.400288, Test acc:0.398026,
Train Loss mape:8.708273, Val Loss mape:9.002206, Test Loss mape:9.862632,
