===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  8
prediction time :  86400
cascade length [10,1000]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss MSEL:6.783554, Val Loss MSEL:5.436218, Test Loss MSEL:5.163970,
Train Loss mSEL:3.237642, Val Loss mSEL:3.005232, Test Loss mSEL:3.025188,
Train acc:0.144010, Val acc:0.144783, Test acc:0.135080,
Train Loss mape:4.606109, Val Loss mape:5.973644, Test Loss mape:5.854437,

# Epochs:1
Train Loss MSEL:4.783165, Val Loss MSEL:4.030098, Test Loss MSEL:3.823530,
Train Loss mSEL:2.055324, Val Loss mSEL:1.814122, Test Loss mSEL:1.850459,
Train acc:0.217953, Val acc:0.233157, Test acc:0.233580,
Train Loss mape:6.230029, Val Loss mape:7.689981, Test Loss mape:7.417298,

# Epochs:2
Train Loss MSEL:3.600719, Val Loss MSEL:4.418309, Test Loss MSEL:4.260852,
Train Loss mSEL:1.485263, Val Loss mSEL:1.042914, Test Loss mSEL:1.038695,
Train acc:0.289170, Val acc:0.387291, Test acc:0.390010,
Train Loss mape:7.460258, Val Loss mape:9.285859, Test Loss mape:9.057722,

# Epochs:3
Train Loss MSEL:3.080183, Val Loss MSEL:3.750419, Test Loss MSEL:3.759887,
Train Loss mSEL:1.243139, Val Loss mSEL:2.084121, Test Loss mSEL:2.123792,
Train acc:0.337347, Val acc:0.220347, Test acc:0.223827,
Train Loss mape:8.170315, Val Loss mape:8.631957, Test Loss mape:8.374404,

# Epochs:4
Train Loss MSEL:2.818739, Val Loss MSEL:2.863190, Test Loss MSEL:2.693455,
Train Loss mSEL:1.153273, Val Loss mSEL:0.953679, Test Loss mSEL:0.976044,
Train acc:0.360968, Val acc:0.418257, Test acc:0.416934,
Train Loss mape:8.825698, Val Loss mape:10.455879, Test Loss mape:10.103233,

# Epochs:5
Train Loss MSEL:2.609975, Val Loss MSEL:2.662258, Test Loss MSEL:2.506440,
Train Loss mSEL:1.079669, Val Loss mSEL:0.934813, Test Loss mSEL:0.953038,
Train acc:0.385677, Val acc:0.427419, Test acc:0.423585,
Train Loss mape:9.216060, Val Loss mape:10.856425, Test Loss mape:10.552958,

# Epochs:6
Train Loss MSEL:2.487344, Val Loss MSEL:2.802405, Test Loss MSEL:2.785278,
Train Loss mSEL:1.039742, Val Loss mSEL:1.299931, Test Loss mSEL:1.333942,
Train acc:0.397687, Val acc:0.337153, Test acc:0.331850,
Train Loss mape:9.453134, Val Loss mape:10.432261, Test Loss mape:9.997255,

# Epochs:7
Train Loss MSEL:2.415047, Val Loss MSEL:2.437377, Test Loss MSEL:2.376935,
Train Loss mSEL:1.018219, Val Loss mSEL:0.999396, Test Loss mSEL:1.022022,
Train acc:0.407552, Val acc:0.413998, Test acc:0.409734,
Train Loss mape:9.758871, Val Loss mape:11.284484, Test Loss mape:10.789300,

# Epochs:8
Train Loss MSEL:2.407606, Val Loss MSEL:2.551429, Test Loss MSEL:2.496628,
Train Loss mSEL:1.012941, Val Loss mSEL:0.930426, Test Loss mSEL:0.951084,
Train acc:0.411949, Val acc:0.443657, Test acc:0.437479,
Train Loss mape:9.868288, Val Loss mape:11.444016, Test Loss mape:11.164394,

# Epochs:9
Train Loss MSEL:2.390074, Val Loss MSEL:2.389650, Test Loss MSEL:2.344982,
Train Loss mSEL:1.010733, Val Loss mSEL:0.982691, Test Loss mSEL:1.011434,
Train acc:0.414782, Val acc:0.428223, Test acc:0.421757,
Train Loss mape:9.976750, Val Loss mape:11.348471, Test Loss mape:11.039801,

# Epochs:10
Train Loss MSEL:2.348016, Val Loss MSEL:2.385871, Test Loss MSEL:2.351821,
Train Loss mSEL:1.003674, Val Loss mSEL:0.993528, Test Loss mSEL:1.013697,
Train acc:0.419164, Val acc:0.426377, Test acc:0.418803,
Train Loss mape:10.131529, Val Loss mape:11.299703, Test Loss mape:11.015159,

# Epochs:11
Train Loss MSEL:2.349353, Val Loss MSEL:2.401602, Test Loss MSEL:2.329569,
Train Loss mSEL:1.002653, Val Loss mSEL:0.965500, Test Loss mSEL:1.001758,
Train acc:0.421461, Val acc:0.433148, Test acc:0.428173,
Train Loss mape:10.210561, Val Loss mape:11.573954, Test Loss mape:11.227568,

# Epochs:12
Train Loss MSEL:2.339940, Val Loss MSEL:2.398569, Test Loss MSEL:2.345987,
Train Loss mSEL:0.996379, Val Loss mSEL:0.954628, Test Loss mSEL:0.986318,
Train acc:0.421630, Val acc:0.435210, Test acc:0.430093,
Train Loss mape:10.054451, Val Loss mape:11.569782, Test Loss mape:11.348056,

# Epochs:13
Train Loss MSEL:2.341697, Val Loss MSEL:2.375492, Test Loss MSEL:2.334697,
Train Loss mSEL:1.001574, Val Loss mSEL:0.971816, Test Loss mSEL:0.998050,
Train acc:0.422610, Val acc:0.432816, Test acc:0.426209,
Train Loss mape:10.286424, Val Loss mape:11.605280, Test Loss mape:11.192737,

# Epochs:14
Train Loss MSEL:2.335987, Val Loss MSEL:2.382002, Test Loss MSEL:2.346487,
Train Loss mSEL:0.998622, Val Loss mSEL:1.021579, Test Loss mSEL:1.041107,
Train acc:0.424127, Val acc:0.421121, Test acc:0.412572,
Train Loss mape:10.141309, Val Loss mape:11.532946, Test Loss mape:11.154414,

# Epochs:15
Train Loss MSEL:2.328347, Val Loss MSEL:2.379600, Test Loss MSEL:2.338350,
Train Loss mSEL:0.995327, Val Loss mSEL:0.957051, Test Loss mSEL:0.997364,
Train acc:0.423300, Val acc:0.437927, Test acc:0.428908,
Train Loss mape:10.341228, Val Loss mape:11.649523, Test Loss mape:11.426278,

# Epochs:16
Train Loss MSEL:2.346543, Val Loss MSEL:2.375310, Test Loss MSEL:2.333508,
Train Loss mSEL:1.000980, Val Loss mSEL:0.991227, Test Loss mSEL:1.022658,
Train acc:0.422610, Val acc:0.426144, Test acc:0.419228,
Train Loss mape:10.334186, Val Loss mape:11.762042, Test Loss mape:11.217269,

# Epochs:17
Train Loss MSEL:2.326005, Val Loss MSEL:2.412314, Test Loss MSEL:2.352236,
Train Loss mSEL:0.994715, Val Loss mSEL:0.947324, Test Loss mSEL:0.976917,
Train acc:0.426195, Val acc:0.446686, Test acc:0.438875,
Train Loss mape:10.344048, Val Loss mape:11.803001, Test Loss mape:11.508090,

# Epochs:18
Train Loss MSEL:2.335412, Val Loss MSEL:2.391893, Test Loss MSEL:2.366569,
Train Loss mSEL:0.989983, Val Loss mSEL:1.047703, Test Loss mSEL:1.070581,
Train acc:0.426915, Val acc:0.416312, Test acc:0.407651,
Train Loss mape:10.317431, Val Loss mape:11.478386, Test Loss mape:11.223042,

# Epochs:19
Train Loss MSEL:2.312944, Val Loss MSEL:2.381370, Test Loss MSEL:2.344075,
Train Loss mSEL:0.985767, Val Loss mSEL:0.962675, Test Loss mSEL:1.001490,
Train acc:0.425873, Val acc:0.438308, Test acc:0.430783,
Train Loss mape:10.252991, Val Loss mape:11.811294, Test Loss mape:11.552172,

# Epochs:20
Train Loss MSEL:2.326276, Val Loss MSEL:2.365471, Test Loss MSEL:2.327297,
Train Loss mSEL:0.979873, Val Loss mSEL:0.975045, Test Loss mSEL:0.999166,
Train acc:0.428493, Val acc:0.433573, Test acc:0.426756,
Train Loss mape:10.444374, Val Loss mape:11.695366, Test Loss mape:11.341154,

# Epochs:21
Train Loss MSEL:2.317421, Val Loss MSEL:2.366495, Test Loss MSEL:2.329755,
